device,num_chunks,batch_size,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_cps,stddev_cps,min_cps,max_cps,p50_cps,p95_cps,mean_gpu_temp,mean_gpu_mem_mb,mean_gpu_power_w
cpu,100,32,1.3161,0.0145,1.2994,1.3260,76.0,0.9,75.4,77.0,75.6,77.0,62,-1,13.9
cpu,100,64,1.0118,0.0223,0.9965,1.0373,98.9,2.2,96.4,100.4,99.9,100.4,62,-1,13.8
cpu,500,32,6.5108,0.0706,6.4383,6.5794,76.8,0.9,76.0,77.7,76.7,77.7,63,-1,13.8
cpu,500,64,4.9276,0.0787,4.8472,5.0045,101.5,1.7,99.9,103.2,101.4,103.2,63,-1,13.9
cpu,1000,32,13.0678,0.2237,12.8116,13.2243,76.5,1.4,75.6,78.1,75.9,78.1,63,-1,14.0
cpu,1000,64,9.7183,0.1325,9.5786,9.8422,102.9,1.4,101.6,104.4,102.7,104.4,64,-1,14.0
cuda,100,32,0.0570,0.0229,0.0390,0.0828,1933.0,682.5,1208.4,2563.7,2026.8,2563.7,59,-1,21.9
cuda,100,64,0.0519,0.0182,0.0309,0.0626,2146.6,944.1,1598.1,3236.8,1605.0,3236.8,60,-1,26.3
cuda,100,128,0.0367,0.0108,0.0300,0.0491,2863.1,717.7,2036.7,3329.7,3222.9,3329.7,60,-1,30.4
cuda,100,256,0.0405,0.0010,0.0399,0.0416,2472.8,57.3,2406.7,2508.1,2503.7,2508.1,60,-1,28.7
cuda,500,32,0.1955,0.0163,0.1793,0.2119,2569.4,214.8,2360.1,2789.3,2558.9,2789.3,61,-1,35.0
cuda,500,64,0.1528,0.0013,0.1513,0.1537,3271.6,28.1,3253.4,3304.0,3257.5,3304.0,61,-1,43.3
cuda,500,128,0.1486,0.0038,0.1451,0.1526,3364.8,85.1,3275.8,3445.5,3373.0,3445.5,64,-1,46.0
cuda,500,256,0.1614,0.0035,0.1574,0.1639,3099.1,67.2,3050.5,3175.8,3071.0,3175.8,65,-1,46.4
cuda,1000,32,0.3872,0.0009,0.3864,0.3882,2582.6,6.3,2575.7,2588.0,2584.1,2588.0,64,-1,46.1
cuda,1000,64,0.3111,0.0057,0.3077,0.3177,3215.2,58.5,3147.7,3249.9,3248.0,3249.9,64,-1,48.5
cuda,1000,128,0.2988,0.0030,0.2964,0.3021,3347.2,32.9,3310.2,3373.3,3358.2,3373.3,66,-1,52.2
cuda,1000,256,0.3112,0.0011,0.3099,0.3119,3213.2,11.8,3206.1,3226.8,3206.8,3226.8,67,-1,53.4
cuda,5000,32,1.9085,0.0183,1.8878,1.9223,2620.0,25.2,2601.1,2648.6,2610.4,2648.6,67,-1,48.9
cuda,5000,64,1.5249,0.0202,1.5022,1.5408,3279.3,43.6,3245.0,3328.4,3264.6,3328.4,69,-1,55.7
cuda,5000,128,1.4934,0.0099,1.4831,1.5029,3348.2,22.2,3326.9,3371.2,3346.5,3371.2,70,-1,57.7
cuda,5000,256,1.5377,0.0171,1.5181,1.5496,3251.8,36.4,3226.5,3293.6,3235.4,3293.6,71,-1,58.7
